deceptive,hotel,polarity,source,text,length,clean_review
truthful,fairmont,positive,TripAdvisor,"I stayed at the Fairmont Chicago for one night - I'm a frequent business traveler and am very familiar with travel rituals. I checked in late (almost 10pm) due to flight cancellations from my home airport -- Atlanta. I took the shuttle to the airport (best option in lieu of the over priced taxis), and it was my first time staying at the hotel. Upon arrival, I immediately noticed the entrance, which appeared very welcoming and warm to me. I checked in with no problems -- and the desk person even asked if I'd prefer a king or double (reconfirming my reservation preference). I always take the king when I can, and the bed was fantastic! It was suited with great linen and these incredible down & feather pillows named Encompass made by The Pillow Factory -- I checked the tags, since I plan to buy some! I ate dinner at the hotel restaurant - Aria, which they mention they like to be considered separate from the hotel -- and YES, it does stand out all on it's own. The food is Asian fusion, and truly wonderful -- as a gourmand and life-long foodie, I appreciate great food when I taste it! The hotel service was good as well. Only drawback was the breakfast buffet at the restaurant -- seems they need to stick with their dinner theme solely. They missed the mark on relatively simply things like scrambled eggs on the buffet, which tasted a bit 'metallic'. But they made up for it by getting a special order made immediately after I passed on the buffet. I would highly recommend this hotel -- it has atmosphere and a great view (if you can get a room with one), fabulous dinner -- just pass on the breakfast buffet. 
",1625,stayed fairmont chicago one night im frequent business traveler familiar travel ritual checked late almost pm due flight cancellation home airport atlanta took shuttle airport best option lieu priced taxi first time staying hotel upon arrival immediately noticed entrance appeared welcoming warm checked problem desk person even asked id prefer king double reconfirming reservation preference always take king bed fantastic suited great linen incredible feather pillow named encompass made pillow factory checked tag since plan buy ate dinner hotel restaurant aria mention like considered separate hotel yes stand food asian fusion truly wonderful gourmand lifelong foodie appreciate great food taste hotel service good well drawback breakfast buffet restaurant seems need stick dinner theme solely missed mark relatively simply thing like scrambled egg buffet tasted bit metallic made getting special order made immediately passed buffet would highly recommend hotel atmosphere great view get room one fabulous dinner pas breakfast buffet
truthful,conrad,positive,TripAdvisor,"Ok, so first trip to chicago and I was a litlle worried about the hotel and the location, finally I decided on the CONRAD and wath a good experience i had, I booked a king deluxe room on the 6th floor, view was not amazing but that was the only coplaint i could had, room is nice, bath was all appliances and good size, good plasma tv, free internet, we asked one day for breaksfast and amazing food! so overall and for the price aroufn 220 It was a great surprise, the locating was very good a few blocks from everything and very quiet hotel 
",544,ok first trip chicago litlle worried hotel location finally decided conrad wath good experience booked king deluxe room th floor view amazing coplaint could room nice bath appliance good size good plasma tv free internet asked one day breaksfast amazing food overall price aroufn great surprise locating good block everything quiet hotel
truthful,hyatt,positive,TripAdvisor,"We arrived at 10:30 am on a Friday, and they had a room ready for us by 11:30 am, mind you check in is not until 3:00pm. We got our room on Priceline for $65.00 per night and stayed 3 nights. We were upgraded - for free - to a suite. I think I was so blown away by that, that I forgot to thank them at check-in! Our room was fantastic. It also had a wet bar and a fridge. The bathroom was quite large and had a nice sized closet with many hangers. I knew from previous reviews to not touch the mini-bar. The bed and pillows were very comfortable. The room was very clean. Every employee there went out of their way to be friendly and helpful. We stayed on the 25th floor of the east tower and had a quiet room. Yes, you could hear people in the hallways, but only because they were rude and were yelling. These were not children, they were adults. I don't know why everyone complains about $48 for parking. This is Chicago and every other hotel we saw charged just as much, some without in/out privledges. We didn't use any of the restaurants or the health club. We tried to eat at the Corner Bakery but it was too crowded. Breakfast at nearby Houlihan's had a buffet for $9.99 per person. Also the grocery store behind the hotel is great. There is a 7-11 not too far away. I don't know why there are so many bad reviews on this hotel. Yes, it's a big hotel. If you don't want a busy lobby, don't stay in a 2,000 plus room hotel!! I loved the Hotel and would recommend it to anyone. Not one problem. Wasn't too busy for me. Would stay here again in a heartbeat. 
",1563,arrived friday room ready u mind check pm got room priceline per night stayed night upgraded free suite think blown away forgot thank checkin room fantastic also wet bar fridge bathroom quite large nice sized closet many hanger knew previous review touch minibar bed pillow comfortable room clean every employee went way friendly helpful stayed th floor east tower quiet room yes could hear people hallway rude yelling child adult dont know everyone complains parking chicago every hotel saw charged much without inout privledges didnt use restaurant health club tried eat corner bakery crowded breakfast nearby houlihans buffet per person also grocery store behind hotel great far away dont know many bad review hotel yes big hotel dont want busy lobby dont stay plus room hotel loved hotel would recommend anyone one problem wasnt busy would stay heartbeat
truthful,conrad,positive,TripAdvisor,"My wife and I came to spend the weekend in downtown Chicago for shopping and we found this Conrad hotel well located close to everything downtown and of a size that doesn't make you feel lost in the Convention world. We have had this feeling when staying at larger hotels in the past. Our Suite has view on Michigan avenue with a bit of the Lake at the end. Staff was very professional, pleasant and friendly making us feel very comfortable. Internet is free n the rooms and I am making my review from there. 
",510,wife came spend weekend downtown chicago shopping found conrad hotel well located close everything downtown size doesnt make feel lost convention world feeling staying larger hotel past suite view michigan avenue bit lake end staff professional pleasant friendly making u feel comfortable internet free n room making review
truthful,hyatt,positive,TripAdvisor,"I got a Sunday night stay for only $50 off of Priceline.com, so it would be hard to complain...but this was truly a great hotel, even if I paid double. The first impression you get when you walk through the sliding doors of the Hyatt Regency Chicago is WOW. The lobby is beautiful with a upscale mall type of look to it with an open area that has a restaurant, plenty of couches,seats etc to people watch and a lake with water fountains. You take the escalator to the concierge/directory/check in area. The hotel let me check in at 12pm (I had a 3pm check in time). I suggest you call ahead like I did so they know you are coming early.The women at the desk was friendly and when I requested a higher level floor she was more than happy to look it up and even told me 'I have a room on the 18th floor with a veiw of the river or you can go higher with no view'. I thought it was pretty nice to give me that information so that I wouldnt get stuck with a room with a view of a wall. The rooms are big (I had a doubles room) The beds were beautiful with great pillows,blankets,headboards etc. An Ipod alarm clock was a nice 21st century touch to the room. Great to plug in your ipod, listen to some music and get ready for a night out or when relaxing after a long day of touring Chicago. The view was very nice and the bathroom was spotless and had great toiletries. Another great feature is the concierge area's computers that gives you access to printing your boarding pass before you get to the airport. You simply look at the screen, click on your airline icon and following the instructions. I had my boarding passes in about a minute. Came in handy when I got to OHare and was able to skip a long line of frustrated passengers. I was only in the hotel for 1 day, but it was by far one of the better hotel experiences I have had and I travel alot. It is a business hotel, but definitely a great choice for families and couples. Definitely would stay here again when Im passing through Chicago. 
",1999,got sunday night stay pricelinecom would hard complainbut truly great hotel even paid double first impression get walk sliding door hyatt regency chicago wow lobby beautiful upscale mall type look open area restaurant plenty couchesseats etc people watch lake water fountain take escalator conciergedirectorycheck area hotel let check pm pm check time suggest call ahead like know coming earlythe woman desk friendly requested higher level floor happy look even told room th floor veiw river go higher view thought pretty nice give information wouldnt get stuck room view wall room big double room bed beautiful great pillowsblanketsheadboards etc ipod alarm clock nice st century touch room great plug ipod listen music get ready night relaxing long day touring chicago view nice bathroom spotless great toiletry another great feature concierge area computer give access printing boarding pas get airport simply look screen click airline icon following instruction boarding pass minute came handy got ohare able skip long line frustrated passenger hotel day far one better hotel experience travel alot business hotel definitely great choice family couple definitely would stay im passing chicago
truthful,conrad,positive,TripAdvisor,"This is a superb hotel. The rooms are huge, including a luxurious bathroom. It is clean and service is first rate. Breakfast was excellent (and complimentary for Hilton Honors members). Hotel is in a good location, and is connected to a mall, which I imagine would be a great asset in the Chicago winter. Next time I go to Chicago, I will stay here for sure. 
",360,superb hotel room huge including luxurious bathroom clean service first rate breakfast excellent complimentary hilton honor member hotel good location connected mall imagine would great asset chicago winter next time go chicago stay sure
truthful,conrad,positive,TripAdvisor,"We stayed at the Conrad for 2 nights for a friends reunion. The room was clean and new feeling, nice city view, free bottled water in room upon arrival. Check in was a breeze, and our room was ready even though we were several hours early. All staff was friendly and helpful, excellent breakfast. 
",298,stayed conrad night friend reunion room clean new feeling nice city view free bottled water room upon arrival check breeze room ready even though several hour early staff friendly helpful excellent breakfast
truthful,conrad,positive,TripAdvisor,"The Conrad Hotel is a beautiful hotel. Our room was perfect and beautiful in every way. I was very impressed (and I am hard to please and have high standards). It was so clean, aesthetically pleasing, up to date, just gorgeous! I would definitely stay there again. I loved it. The location is superb too, attached to Nordstrom and Northbridge mall. Can't wait to go back! 
",373,conrad hotel beautiful hotel room perfect beautiful every way impressed hard please high standard clean aesthetically pleasing date gorgeous would definitely stay loved location superb attached nordstrom northbridge mall cant wait go back
truthful,conrad,positive,TripAdvisor,"My boyfriend and I decided to stay at the Conrad Chicago for our anniversary. The second we walked in, we were immediately won over by the look and feel of the room. White luxurous bedding on the King bed, plasma t.v./ subroofer/ surround sound speakers (my boyfriend was more impressed than me, as I reminded him that we didn't come to Chicago for the hotel room) very large bathroom w/ tub and separate stand-in shower, granite countertops, his/ her robes and slippers. The view wasn't great, but we were on the 6th floor and not really high enough to see anything but the side of the building next to us. Not a large room by any means, but again . . . we didn't go to the city for the hotel room. It was the prefect size for the amount of time we were actually in the room. We got a great rate on it ($140 at hotels.com) but I think the going rate is usually closer to mid $200's. I've stayed in quite a few hotels in the downtown area and none have ever impressed me more than this one. We will definitely be staying there again on our next trip into the city. 
",1066,boyfriend decided stay conrad chicago anniversary second walked immediately look feel room white luxurous bedding king bed plasma tv subroofer surround sound speaker boyfriend impressed reminded didnt come chicago hotel room large bathroom w tub separate standin shower granite countertop robe slipper view wasnt great th floor really high enough see anything side building next u large room mean didnt go city hotel room prefect size amount time actually room got great rate hotelscom think going rate usually closer mid ive stayed quite hotel downtown area none ever impressed one definitely staying next trip city
truthful,omni,positive,TripAdvisor,"Got a good deal on a weekend pacage in this Hotel and have to say it is the nicest stay I have had in more than a dozen business trips to Chicago. All rooms are Suites, staff is friendly and professional, Restaurant is out of this world and all the extras like a great health club, turn down service, complimentary morning beverages delivered to room and on and on. Room was very clean and every need was attended to without feeling intruded on. Will definately stay here again. 
",480,got good deal weekend pacage hotel say nicest stay dozen business trip chicago room suite staff friendly professional restaurant world extra like great health club turn service complimentary morning beverage delivered room room clean every need attended without feeling intruded definately stay
truthful,fairmont,positive,TripAdvisor,"I stayed at the Fairmont for a few nights and found the whole experience excellent. I was given a very large room with great views of the city; the breakfast was extremely good; and the location was as central as I could have wished for. The pool was not large but felt luxurious and was great for early morning swims. In the evening I spent some time in the hotel bar with friends and that was excellent too. Highly recommended as a base for exploring Chicago. 
",463,stayed fairmont night found whole experience excellent given large room great view city breakfast extremely good location central could wished pool large felt luxurious great early morning swim evening spent time hotel bar friend excellent highly recommended base exploring chicago
truthful,fairmont,positive,TripAdvisor,"We went to Chicago to see an exhibit at the Art Institute and selected the Fairmont because it was so close. Although the lobby is still being renovated, our experience at the hotel was uniformly positive. The room was nicely sized and newly remodeled and immaculate. The only glitch involved getting the room coffee replenished. The maid does not do that, and by bedtime on the first night, we still didn't have coffee. We called the front desk and they immediately delivered a fresh supply. The restaurant is a little underwhelming, but with so many other places to go within a very few blocks, we probably wouldn't have eaten there any more than we did. After having stayed in close to a dozen different Chicago hotels, this may be the hotel we return to whenever we return. 
",779,went chicago see exhibit art institute selected fairmont close although lobby still renovated experience hotel uniformly positive room nicely sized newly remodeled immaculate glitch involved getting room coffee replenished maid bedtime first night still didnt coffee called front desk immediately delivered fresh supply restaurant little underwhelming many place go within block probably wouldnt eaten stayed close dozen different chicago hotel may hotel return whenever return
truthful,fairmont,positive,TripAdvisor,"I actually booked this reservation with the hotel over the phone and got a great rate -- much lower than the usual price! It was a lovely hotel, beautifully appointed, walking distance from the places we wanted to go. We would highly recommend the Fairmont. 
",259,actually booked reservation hotel phone got great rate much lower usual price lovely hotel beautifully appointed walking distance place wanted go would highly recommend fairmont
truthful,hyatt,positive,TripAdvisor,"Named my price on priceline. $50.00 Bucks. Hotel room was great. Clean, Clean and new. Fresh crisp sheets, comfortable bed, flat screen TV, clean carpet, nice bath, etc. Short distance to food and sightseeing. I highly recommend this property. Be prepared to pay over $40.00 per night to park. Hey, Its a hyatt. They also charge $5.00 for a bottle of water that is normally a buck. For a total of $100.00 nightly stay in Chicago this place is it just don't drink the bottled water. Happy Travels 
",497,named price priceline buck hotel room great clean clean new fresh crisp sheet comfortable bed flat screen tv clean carpet nice bath etc short distance food sightseeing highly recommend property prepared pay per night park hey hyatt also charge bottle water normally buck total nightly stay chicago place dont drink bottled water happy travel
truthful,hyatt,positive,TripAdvisor,"Check-in was fast, the room was perfect, and there were no problems. This is a standard big-city business hotel with every amenity imaginable. I got a very good deal for a one-night stay, but they made the money back from the exorbitant parking rate and the absurd access fee for wireless internet. If you are bored of the routine hotel fare, walk two blocks to Gourmet Pantry (155 N. Michigan) for a refreshing change. 
",421,checkin fast room perfect problem standard bigcity business hotel every amenity imaginable got good deal onenight stay made money back exorbitant parking rate absurd access fee wireless internet bored routine hotel fare walk two block gourmet pantry n michigan refreshing change
truthful,conrad,positive,TripAdvisor,"Arrived on 06/04/05, greeted by friendly doorman, and zipped up to the 5th Floor Lobby. Very open lobby area with friendly reception staff. Room was on the 12th Floor and very nice. Everything was in order and very clean! The king size bed was nice and each night I had a restful sleep. Bathroom was large with separate glass shower stall. The room was furnished with everything I needed including internet hook-up access. Also, you can walk thru on the 5th Fl to the Westfield North Bridge Shopping Mall, where you will enjoy Nordstrom and other stores. Of course, you're steps from Michigan Ave. too. The central location of the hotel was great, as I could walk to most places. The CTA Subway stop (Grand Ave. on Red Line) was an easy 2 block walk. I will stay here again on my next trip to Chicago! 
",803,arrived greeted friendly doorman zipped th floor lobby open lobby area friendly reception staff room th floor nice everything order clean king size bed nice night restful sleep bathroom large separate glass shower stall room furnished everything needed including internet hookup access also walk thru th fl westfield north bridge shopping mall enjoy nordstrom store course youre step michigan ave central location hotel great could walk place cta subway stop grand ave red line easy block walk stay next trip chicago
truthful,fairmont,positive,TripAdvisor,"Simply a nice place to stay... I had a great deal for the room, and was impressed with the quality. Hotel staff was very helpful; they were able to let me check out and helped me print boarding passes. Negative: It is frustrating that nowadays you do not have free internet in most hotels and it's the same here; you have to pay for the internet. Negative: Loud on the phone you may hear your neighbors on the phone, or them shower. 
",434,simply nice place stay great deal room impressed quality hotel staff helpful able let check helped print boarding pass negative frustrating nowadays free internet hotel pay internet negative loud phone may hear neighbor phone shower
truthful,conrad,positive,TripAdvisor,"We stayed at the Conrad for only one evening but it was such an amazing room we would have liked to stay longer! We were on the newly renovated 9th floor and the room was gorgeous and super clean! There was a flat screen, bose sound system and even an Ihome for our Ipod. Wireless was free and they bring you a free bottle of water at turn down. Everyone was very helpful and so friendly. We can't wait to go back again! 
",422,stayed conrad one evening amazing room would liked stay longer newly renovated th floor room gorgeous super clean flat screen bose sound system even ihome ipod wireless free bring free bottle water turn everyone helpful friendly cant wait go back
truthful,conrad,positive,TripAdvisor,"We spent a week in this hotel and were very pleased with the experience. As described in previous reviews. the room was very comfortable with the huge televison and bathroom being particularly outstanding. Service was excellent overall (I especially liked the bottle of water at my bedside with the turn down service). The door and bellmen/women were particularly pleasant and helpful and the concierge was friendly and knowledgeable. We had completely satisfactory (though overpriced) drinks in the bar but didn't eat at the restaurant. The health club was fine and the equipment was well maintained. While there were only three treadmills and two elipitical steppers, I never had to wait for a machine although it might be a different story in the dead of a Chicago winter! One minor quibble--I like to have coffee first thing in the morning and there was no in-room coffee maker. The restaurant offered free coffee 'to-go' but only before eight AM. This is a very, very comfortable, attractive hotel in a wonderful location. Chicago is an expensive city but we felt that we got a reasonable value for our money. 
",1116,spent week hotel pleased experience described previous review room comfortable huge televison bathroom particularly outstanding service excellent overall especially liked bottle water bedside turn service door bellmenwomen particularly pleasant helpful concierge friendly knowledgeable completely satisfactory though overpriced drink bar didnt eat restaurant health club fine equipment well maintained three treadmill two elipitical stepper never wait machine although might different story dead chicago winter one minor quibblei like coffee first thing morning inroom coffee maker restaurant offered free coffee togo eight comfortable attractive hotel wonderful location chicago expensive city felt got reasonable value money
truthful,hyatt,positive,TripAdvisor,"I booked a room at the Hyatt through Priceline and was able to get a rate of $45/night! Can't go wrong with that! The rooms are nice, spacious, clean and contain all the amenties a traveler would need. I have to say that I have fallen in love with the Hyatt chain due to their customer service. I have stayed at a few of their hotels in different cities and the staff has always been extremely friendly, which you don't often see at other hotels. I used the self-check in machine, and the customer service person checked in on me to make sure everything was going smoothly. Then, when she saw that my room was not on a high level, she offered to have it changed for me so that I could have a better view. I would highly recommend this hotel! 
",743,booked room hyatt priceline able get rate night cant go wrong room nice spacious clean contain amenties traveler would need say fallen love hyatt chain due customer service stayed hotel different city staff always extremely friendly dont often see hotel used selfcheck machine customer service person checked make sure everything going smoothly saw room high level offered changed could better view would highly recommend hotel
truthful,omni,positive,TripAdvisor,"This hotel is the perfect location for downtown Chicago shopping. The only thing is the pool is extremely small - it is indoors, but looks much larger on the website. 
",168,hotel perfect location downtown chicago shopping thing pool extremely small indoors look much larger website
truthful,omni,positive,TripAdvisor,"The Omni is in a fabulous location on Michigan Avenue. Within just blocks are all types of stores, including Saks, Nordstroms, H&M, Filenes Basement, Macys, La Perla, Apple, Bloomingdates.....I could go on and on! The room itself was fabulous. Comfortable, nice big flat screen tvs, nice sized bathroom. They charge for Wi-Fi, but we found if we clicked yes on joining their guest program we could then go from the sign-on screen right to our email without actually completing the registration. We got this hotel for $214/night through Priceline and felt it was a terrific deal! 
",580,omni fabulous location michigan avenue within block type store including saks nordstroms hm filenes basement macys la perla apple bloomingdatesi could go room fabulous comfortable nice big flat screen tv nice sized bathroom charge wifi found clicked yes joining guest program could go signon screen right email without actually completing registration got hotel night priceline felt terrific deal
truthful,hyatt,positive,TripAdvisor,"Stayed in a Junior Suite which was beautiful and spacious. It had the largest flat screen tv I have ever seen in a hotel (great excuse to catch up on some movies) The breakfast buffet was great and was served in the hotels huge atrium which was nice. The service was top notch. Stayed in a lower floor in the East tower which was great as there was no waits for an elevator and they were always empty. The Shed aquarium was a complete waste of time and money but the Field musium was amazing. Chicago remains tied with London as my favourite city. 
",549,stayed junior suite beautiful spacious largest flat screen tv ever seen hotel great excuse catch movie breakfast buffet great served hotel huge atrium nice service top notch stayed lower floor east tower great wait elevator always empty shed aquarium complete waste time money field musium amazing chicago remains tied london favourite city
truthful,omni,positive,TripAdvisor,"I'll keep it short. My wife, daughter and I stayed at this hotel for 3 nights. We go on several vacations a year and this was a great hotel. Location: It is located in the center of the Magnificent Mile (Michigan Ave.), so it is near or easily accessible to everything you might want to do. Hotel: The hotel itself is very clean, as were the rooms. Maid service was excellent, including 2x daily cleaning and turndown service (I think they missed a night). Service: Every staff member we encountered was super friendly and kind. They always have someone at the lobby door greeting you with a smile. Every night we had milk and cookies waiting in our room (sometimes chocolates on our pillows). They always pushed the elevator button for you if they were near it. There was no shortage of people to ask things. My only conplaint was that the congierge was tough to get. They shouuld have more than one, or longer hours. Other: We had breakfast in the 676 Restaurant and it was very good, and well attended, appointed. They even carried my wifes plate to the table from the buffet. The pool was a nice addition and a hit with the kids. It was nice to go for a swim after a long day of walking. Pool and changing areas were spotless. Room: Clean, sunny and spacious. Probably over 400 sq. ft. - 2 TVs, couch, desk, chairs - all in perfect shape. The windows open for some fresh air. Pillows were pretty comfortable. With all aspects considered, I think this was an unbeatable value! I would not hesitate to stay again or recommend it to a friend. I truly have nothing negative to say about the hotel. It was a wonderful stay and we will miss being there. Omni has hit the right formula to make a guest feel like a welcomed person as opposed to just a nuisance or a number. The airlines have cornered the market on that. 
",1818,ill keep short wife daughter stayed hotel night go several vacation year great hotel location located center magnificent mile michigan ave near easily accessible everything might want hotel hotel clean room maid service excellent including x daily cleaning turndown service think missed night service every staff member encountered super friendly kind always someone lobby door greeting smile every night milk cooky waiting room sometimes chocolate pillow always pushed elevator button near shortage people ask thing conplaint congierge tough get shouuld one longer hour breakfast restaurant good well attended appointed even carried wife plate table buffet pool nice addition hit kid nice go swim long day walking pool changing area spotless room clean sunny spacious probably sq ft tv couch desk chair perfect shape window open fresh air pillow pretty comfortable aspect considered think unbeatable value would hesitate stay recommend friend truly nothing negative say hotel wonderful stay miss omni hit right formula make guest feel like welcomed person opposed nuisance number airline cornered market
